,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD,DETAILS,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
10,10448449,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 11:52:14,2022-10-19 13:11:05,2022-10-20 11:52:14,2022-10-19 11:52:14,,,,Closed,,22-00503824,Standard,3001 11TH STREET NW,397656.01,139997.67,38.9278543,-77.02703252,WASHINGTON,DC,20001,231226.0,1,,,{EB62FC72-E48E-4B84-E053-782F520AFEAF},,,,
11,10448452,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 11:54:30,2022-10-19 12:03:06,2022-10-20 11:54:30,2022-10-19 11:54:30,,,,Closed,,22-00503828,Standard,5311 8TH STREET NW,397947.89,142973.24,38.95465983,-77.02367526,WASHINGTON,DC,20011,250242.0,4,,,{EB62FC72-E491-4B84-E053-782F520AFEAF},,,,
12,10448455,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 11:57:21,2022-10-19 13:08:54,2022-10-20 11:57:21,2022-10-19 11:57:21,,,,Closed,,22-00503832,Standard,630 I STREET NW,398159.49,136974.15,38.90061829,-77.02121794,WASHINGTON,DC,20001,238696.0,2,,,{EB62FC72-E494-4B84-E053-782F520AFEAF},,,,
13,10449490,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:00:12,2022-10-19 13:19:09,2022-10-20 12:00:12,2022-10-19 12:00:12,,,,Closed,,22-00503838,Standard,1400 - 1499 BLOCK OF HIGHLAND TERRACE NW,397104.76,137610.050007,38.90634386,-77.03337985,WASHINGTON,DC,20005,815071.0,2,,,{EB633210-C500-2232-E053-792F520A25F1},,,,
14,10449491,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:00:16,2022-10-19 12:03:59,2022-10-20 12:00:16,2022-10-19 12:00:16,,,,Closed,,22-00503839,Standard,1419 COLUMBIA ROAD NW,397107.54,139988.13,38.92776673,-77.03335782,WASHINGTON,DC,20009,234363.0,1,,,{EB633210-C501-2232-E053-792F520A25F1},,,,
15,10449493,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:01:08,2022-10-19 13:59:27,2022-10-20 12:01:08,2022-10-19 12:01:08,,,,Closed,,22-00503841,Standard,1604 PARK ROAD NW,396788.44,140402.65,38.93149974,-77.03703984,WASHINGTON,DC,20010,233550.0,1,,,{EB633210-C503-2232-E053-792F520A25F1},,,,
16,10449494,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:01:15,2022-10-19 13:59:28,2022-10-20 12:01:15,2022-10-19 12:01:15,,,,Closed (Duplicate),,22-00503842,Standard,1604 PARK ROAD NW,396788.44,140402.65,38.93149974,-77.03703984,WASHINGTON,DC,20010,233550.0,1,,,{EB633210-C504-2232-E053-792F520A25F1},,,,
17,10449495,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:01:47,2022-10-19 12:53:49,2022-10-20 12:01:47,2022-10-19 12:01:47,,,,Closed,,22-00503843,Standard,3033 16TH STREET NW,396886.58,139960.65,38.92751842,-77.03590596,WASHINGTON,DC,20009,284559.0,1,,,{EB633210-C505-2232-E053-792F520A25F1},,,,
18,10449812,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:13:52,2022-10-19 13:00:20,2022-10-20 12:13:52,2022-10-19 12:13:52,,,,Closed,,22-00503861,Standard,1015 31ST STREET NW,394723.67,137253.49,38.9031211,-77.06082922,WASHINGTON,DC,20007,278788.0,2,,,{EB633210-C512-2232-E053-792F520A25F1},,,,
19,10448463,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:25:35,2022-10-19 12:57:49,2022-10-20 12:25:35,2022-10-19 12:25:35,,,,Closed,,22-00503889,Standard,20TH STREET NW AND I STREET NW,396105.09375434,137054.77140291,38.90133785,-77.04490207,WASHINGTON,DC,20006,901003.0,2,,,{EB6367B9-6C37-4AAC-E053-782F520A85E2},,,,
20,10448466,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:27:17,2022-10-19 16:04:28,2022-10-20 12:27:17,2022-10-19 12:27:17,,,,Closed,,22-00503894,Standard,1309 E STREET SE,401067.44,134983.47,38.88268678,-76.98769733,WASHINGTON,DC,20003,317011.0,6,,,{EB6367B9-6C3A-4AAC-E053-782F520A85E2},,,,
21,10448469,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:28:02,2022-10-19 12:54:28,2022-10-20 12:28:02,2022-10-19 12:28:02,,,,Closed,,22-00503897,Standard,2700 - 2798 BLOCK OF CONNECTICUT AVENUE NW,395405.92,139798.650007,38.92605225,-77.05298079,WASHINGTON,DC,20008,805597.0,3,,,{EB6367B9-6C3D-4AAC-E053-782F520A85E2},,,,
22,10448472,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:29:07,2022-10-19 13:17:23,2022-10-20 12:29:07,2022-10-19 12:29:07,,,,Closed,,22-00503900,Standard,1310 U STREET NW,397383.38,138768.28,38.91677879,-77.030172,WASHINGTON,DC,20009,240430.0,1,,,{EB6367B9-6C40-4AAC-E053-782F520A85E2},,,,
23,10449819,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:30:38,2022-10-19 13:35:33,2022-10-20 12:30:38,2022-10-19 12:30:38,,,,Closed,,22-00503907,Standard,1543 1ST STREET SW,398924.6,133682.79,38.87097006,-77.01239238,WASHINGTON,DC,20024,60885.0,6,,,{EB639D5C-1316-789E-E053-792F520AECF9},,,,
24,10449823,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:34:41,2022-10-19 13:15:05,2022-10-20 12:34:41,2022-10-19 12:34:41,,,,Closed,,22-00503913,Standard,621 FLORIDA AVENUE NE,400272.04,137501.69,38.90537244,-76.99686363,WASHINGTON,DC,20002,336000.0,6,,,{EB639D5C-131A-789E-E053-792F520AECF9},,,,
25,10449824,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:35:32,2022-10-19 13:50:07,2022-10-20 12:35:32,2022-10-19 12:35:32,,,,Closed,,22-00503915,Standard,605 DECATUR STREET NW,398139.31,142299.29,38.94858913,-77.02146501,WASHINGTON,DC,20011,247167.0,4,,,{EB639D5C-131B-789E-E053-792F520AECF9},,,,
26,10449837,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:50:21,2022-10-19 13:46:36,2022-10-20 12:50:21,2022-10-19 12:50:21,,,,Closed,,22-00503947,Standard,1922 BENNING ROAD NE,402139.39,136788.24,38.8989432,-76.97533706,WASHINGTON,DC,20002,53796.0,5,,,{EB63D301-1DE1-25C7-E053-792F520AEB46},,,,
27,10449841,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:52:58,,2022-10-20 12:52:58,2022-10-19 12:52:58,,,,Open,,22-00503955,Standard,2420 ELVANS ROAD SE,401217.61,131788.86,38.85390857,-76.98597222,WASHINGTON,DC,20020,296104.0,8,,,{EB63D301-1DE5-25C7-E053-792F520AEB46},,,,
28,10449845,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:56:50,2022-10-19 13:04:48,2022-10-20 12:56:50,2022-10-19 12:56:50,,,,Closed,,22-00503965,Standard,219 - 299 BLOCK OF MASSACHUSETTS AVENUE NE,399804.94,136316.12000701,38.89469242,-77.00224852,WASHINGTON,DC,20002,805012.0,6,,,{EB63D301-1DE9-25C7-E053-792F520AEB46},,,,
29,10449874,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:59:35,2022-10-19 13:36:07,2022-10-20 12:59:35,2022-10-19 12:59:35,,,,Closed,,22-00503976,Standard,2115 WISCONSIN AVENUE NW,394009.34,138986.49,38.91872798,-77.06907963,WASHINGTON,DC,20007,284199.0,3,,,{EB6408A0-C381-5E6D-E053-792F520AB166},,,,
30,10449875,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 12:59:55,2022-10-19 13:20:35,2022-10-20 12:59:55,2022-10-19 12:59:55,,,,Closed,,22-00503978,Standard,1600 - 1699 BLOCK OF 31ST STREET SE,403224.80857693,133661.63404848,38.87077389,-76.96283901,WASHINGTON,DC,20020,811331.0,7,,,{EB6408A0-C382-5E6D-E053-792F520AB166},,,,
31,10449882,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:03:01,2022-10-19 14:18:09,2022-10-20 13:03:01,2022-10-19 13:03:01,,,,Closed,,22-00503991,Standard,3501 MINNESOTA AVENUE SE,403824.31,135290.15,38.88544213,-76.95592161,WASHINGTON,DC,20019,150719.0,7,,,{EB6408A0-C389-5E6D-E053-792F520AB166},,,,
32,10449883,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:03:06,2022-10-19 16:14:09,2022-10-20 13:03:06,2022-10-19 13:03:06,,,,Closed,,22-00503992,Standard,1330 7TH STREET NW,398074.8,137806.65,38.90811789,-77.0221966,WASHINGTON,DC,20001,238401.0,2,,,{EB6408A0-C38A-5E6D-E053-792F520AB166},,,,
33,10449885,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:03:17,2022-10-19 13:10:39,2022-10-20 13:03:17,2022-10-19 13:03:17,,,,Closed,,22-00503994,Standard,625 FLORIDA AVENUE NE,400285.79,137498.53,38.9053443,-76.99670511,WASHINGTON,DC,20002,3115.0,6,,,{EB6408A0-C38C-5E6D-E053-792F520AB166},,,,
34,10449887,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:03:32,2022-10-19 13:09:48,2022-10-20 13:03:32,2022-10-19 13:03:32,,,,Closed,,22-00503996,Standard,625 FLORIDA AVENUE NE,400285.79,137498.53,38.9053443,-76.99670511,WASHINGTON,DC,20002,3115.0,6,,,{EB6408A0-C38E-5E6D-E053-792F520AB166},,,,
35,10449850,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:04:41,,2022-10-20 13:04:41,2022-10-19 13:04:41,,,,Open,,22-00504001,Standard,400 1ST STREET SE,399517.2,135229.0,38.88489946,-77.00556463,WASHINGTON,DC,20003,28526.0,6,,,{EB6408A0-C369-5E6D-E053-792F520AB166},,,,
36,10453228,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:13:41,2022-10-20 15:43:45,2022-10-21 12:25:44,2022-10-19 13:13:41,,,,Closed (Transferred),,22-00506788,Standard,1001 14TH STREET NW,397260.09,137229.87,38.90291989,-77.0315875,WASHINGTON,DC,20005,240644.0,2,,,{EB7A3EFE-ED73-2A66-E053-782F520AD584},,,,
37,10449916,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:24:26,2022-10-19 14:50:24,2022-10-20 13:24:26,2022-10-19 13:24:26,,,,Closed,,22-00504070,Standard,88 K STREET SE,399446.75,134537.28,38.8786678,-77.00637607,WASHINGTON,DC,20003,307443.0,6,,,{EB643E46-F610-51EC-E053-792F520A993D},,,,
38,10448484,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:25:30,2022-10-19 13:30:05,2022-10-20 13:25:30,2022-10-19 13:25:30,,,,Closed,,22-00504075,Standard,400 - 499 BLOCK OF BURBANK STREET SE,404939.93053053,135095.9098258,38.88368645,-76.94306455,WASHINGTON,DC,20019,803142.0,7,,,{EB6473F4-D4D0-3B5C-E053-782F520ADB7D},,,,
39,10449889,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:27:41,2022-10-19 16:30:26,2022-10-20 13:27:41,2022-10-19 13:27:41,,,,Closed,,22-00504085,Standard,625 Q STREET NW,398174.01,138159.01,38.91129228,-77.0210537,WASHINGTON,DC,20001,238543.0,2,,,{EB643E46-F5F5-51EC-E053-792F520A993D},,,,
40,10448493,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:35:55,2022-10-19 14:37:40,2022-10-20 13:35:55,2022-10-19 13:35:55,,,,Closed,,22-00504112,Standard,3234 PROSPECT STREET NW,394426.48,137550.44,38.9057943,-77.06425784,WASHINGTON,DC,20007,275812.0,2,,,{EB6473F4-D4D9-3B5C-E053-782F520ADB7D},,,,
41,10448494,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:35:55,2022-10-19 14:23:19,2022-10-20 13:35:55,2022-10-19 13:35:55,,,,Closed,,22-00504113,Standard,2226 WISCONSIN AVENUE NW,393793.35,139108.9,38.91982919,-77.07157136,WASHINGTON,DC,20007,275326.0,3,,,{EB6473F4-D4DA-3B5C-E053-782F520ADB7D},,,,
42,10448501,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:38:18,2022-10-19 14:39:04,2022-10-20 13:38:18,2022-10-19 13:38:18,,,,Closed,,22-00504123,Standard,130 M STREET NE,399569.25,137560.26,38.90590033,-77.00496618,WASHINGTON,DC,20002,303694.0,6,,,{EB6473F4-D4E1-3B5C-E053-782F520ADB7D},,,,
43,10448503,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:40:17,2022-10-19 14:34:42,2022-10-20 13:40:17,2022-10-19 13:40:17,,,,Closed,,22-00504132,Standard,1314 RANDOLPH STREET NW,397362.24,141176.85,38.93847588,-77.03042502,WASHINGTON,DC,20011,225199.0,4,,,{EB6473F4-D4E3-3B5C-E053-782F520ADB7D},,,,
44,10448505,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:41:58,2022-10-19 16:15:11,2022-10-20 13:41:58,2022-10-19 13:41:58,,,,Closed,,22-00504138,Standard,800 - 819 BLOCK OF 19TH STREET NW,396229.82999999,136893.820007,38.89988849,-77.04346318,WASHINGTON,DC,20006,808903.0,2,,,{EB6473F4-D4E5-3B5C-E053-782F520ADB7D},,,,
45,10448514,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:44:33,2022-10-19 15:04:11,2022-10-20 13:44:33,2022-10-19 13:44:33,,,,Closed,,22-00504148,Standard,1200 - 1299 BLOCK OF GOOD HOPE ROAD SE,401055.11763092,133271.60694411,38.86726565,-76.98784198,WASHINGTON,DC,20020,806989.0,8,,,{EB64A990-90F2-118D-E053-782F520A425A},,,,
46,10448518,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:45:40,2022-10-19 15:05:27,2022-10-20 13:45:40,2022-10-19 13:45:40,,,,Closed,,22-00504158,Standard,1300 - 1399 BLOCK OF GOOD HOPE ROAD SE,401207.00652707,133236.54518407,38.8669496,-76.98609184,WASHINGTON,DC,20020,815223.0,8,,,{EB64A990-90F6-118D-E053-782F520A425A},,,,
47,10450133,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:55:05,2022-10-19 14:19:11,2022-10-20 13:55:05,2022-10-19 13:55:05,,,,Closed,,22-00504190,Standard,307 K STREET NW,398660.57,137211.83,38.9027603,-77.0154418,WASHINGTON,DC,20001,312744.0,6,,,{EB64A990-9105-118D-E053-782F520A425A},,,,
48,10450134,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:55:42,2022-10-19 14:38:38,2022-10-20 13:55:42,2022-10-19 13:55:42,,,,Closed,,22-00504192,Standard,1500 NEAL STREET NE,401419.06,137186.02,38.902528,-76.98364022,WASHINGTON,DC,20002,62561.0,5,,,{EB64A990-9106-118D-E053-782F520A425A},,,,
49,10450135,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:56:14,2022-10-19 14:26:59,2022-10-20 13:56:14,2022-10-19 13:56:14,,,,Closed,,22-00504194,Standard,8TH STREET SE AND A STREET SE,400436.91999835,135648.3170016,38.88867651,-76.9949639,WASHINGTON,DC,20003,904480.0,6,,,{EB64A990-9107-118D-E053-782F520A425A},,,,
50,10450137,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:57:19,2022-10-19 15:31:00,2022-10-20 13:57:19,2022-10-19 13:57:19,,,,Closed,,22-00504196,Standard,1375 KENYON STREET NW,397238.28,140219.43,38.92985077,-77.03185097,WASHINGTON,DC,20010,297618.0,1,,,{EB64A990-9109-118D-E053-782F520A425A},,,,
51,10450139,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:58:32,2022-10-19 14:45:52,2022-10-20 13:58:32,2022-10-19 13:58:32,,,,Closed,,22-00504200,Standard,1700 - 1799 BLOCK OF MASSACHUSETTS AVENUE NW,396523.20999999,137847.13000701,38.90847745,-77.04008587,WASHINGTON,DC,20036,811901.0,2,,,{EB64A990-910B-118D-E053-782F520A425A},,,,
52,10449987,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 13:59:49,2022-10-19 15:34:08,2022-10-20 13:59:49,2022-10-19 13:59:49,,,,Closed,,22-00504208,Standard,3215 11TH PLACE SE,400717.57,130630.64,38.84347503,-76.99173426,WASHINGTON,DC,20032,38378.0,8,,,{EB6514DE-B47C-3161-E053-792F520A9F2A},,,,
53,10449928,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:07:33,2022-10-19 16:31:35,2022-10-20 14:07:32,2022-10-19 14:07:33,,,,Closed,,22-00504232,Standard,810 1ST STREET NE,399390.57,136972.5,38.90060547,-77.00702569,WASHINGTON,DC,20002,79999.0,6,,,{EB6514DE-B441-3161-E053-792F520A9F2A},,,,
54,10449930,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:09:21,2022-10-19 15:51:09,2022-10-20 14:09:21,2022-10-19 14:09:21,,,,Closed,,22-00504235,Standard,4108 GRANT STREET NE,404868.28,136746.54,38.89855667,-76.94387866,WASHINGTON,DC,20019,26713.0,7,,,{EB6514DE-B443-3161-E053-792F520A9F2A},,,,
55,10449957,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:13:21,2022-10-19 17:14:35,2022-10-20 14:13:21,2022-10-19 14:13:21,,,,Closed,,22-00504251,Standard,12 55TH STREET NE,406667.55,135837.92,38.89035969,-76.92314558,WASHINGTON,DC,20019,72402.0,7,,,{EB6514DE-B45E-3161-E053-792F520A9F2A},,,,
56,10449959,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:14:21,2022-10-19 15:48:57,2022-10-20 14:14:21,2022-10-19 14:14:21,,,,Closed,,22-00504254,Standard,5825 COLORADO AVENUE NW,397489.48,143620.44,38.96048878,-77.02896632,WASHINGTON,DC,20011,253159.0,4,,,{EB6514DE-B460-3161-E053-792F520A9F2A},,,,
57,10449960,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:14:27,2022-10-19 17:21:26,2022-10-20 14:14:27,2022-10-19 14:14:27,,,,Closed,,22-00504255,Standard,15 41ST STREET NE,404827.56,135866.84,38.89063224,-76.94435426,WASHINGTON,DC,20019,62673.0,7,,,{EB6514DE-B461-3161-E053-792F520A9F2A},,,,
58,10449980,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:16:22,2022-10-19 14:58:50,2022-10-20 14:16:21,2022-10-19 14:16:22,,,,Closed,,22-00504278,Standard,7019 GEORGIA AVENUE NW,397710.39,145287.95,38.97551072,-77.02642304,WASHINGTON,DC,20012,253849.0,4,,,{EB6514DE-B475-3161-E053-792F520A9F2A},,,,
59,10449935,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:19:10,2022-10-19 16:04:02,2022-10-20 14:19:10,2022-10-19 14:19:10,,,,Closed,,22-00504287,Standard,1500 45TH STREET NE,405387.94,138065.31,38.91043358,-76.9378777,WASHINGTON,DC,20019,155154.0,7,,,{EB6514DE-B448-3161-E053-792F520A9F2A},,,,
60,10449937,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:19:52,2022-10-19 15:12:15,2022-10-20 14:19:52,2022-10-19 14:19:52,,,,Closed,,22-00504290,Standard,301 WATER STREET SE,399866.24,133959.62,38.87346417,-77.00154144,WASHINGTON,DC,20003,310693.0,8,,,{EB6514DE-B44A-3161-E053-792F520A9F2A},,,,
61,10449942,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:22:09,2022-10-19 22:18:13,2022-10-20 14:22:09,2022-10-19 14:22:09,,,,Closed,,22-00504297,Standard,1300 COLUMBIA ROAD NW,397395.91,139951.94,38.92744162,-77.03003201,WASHINGTON,DC,20009,283964.0,1,,,{EB6514DE-B44F-3161-E053-792F520A9F2A},,,,
62,10449954,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:29:33,2022-10-19 14:50:47,2022-10-20 14:29:33,2022-10-19 14:29:33,,,,Closed,,22-00504319,Standard,1536 SWANN STREET NW,396880.88,138538.54,38.91470758,-77.03596523,WASHINGTON,DC,20009,242198.0,2,,,{EB6514DE-B45B-3161-E053-792F520A9F2A},,,,
63,10450159,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 14:33:37,2022-10-19 14:55:15,2022-10-20 14:33:37,2022-10-19 14:33:37,,,,Closed,,22-00504342,Standard,901 3RD STREET NW,398714.59,137095.19,38.90170998,-77.01481881,WASHINGTON,DC,20001,238361.0,6,,,{EB658034-2445-1F96-E053-782F520AD36C},,,,
